feature,mean_importance,bootstrap_stability
XBP1,0.0840513261860858,1.0
MIA,0.05294193807750976,1.0
ESR1_prom,0.04637416374926678,1.0
BRCA1_prom,0.0369234793341957,1.0
AURKA,0.034135291069077874,0.9875
ESR1,0.02669368934803526,0.9875
BCL2,0.02620961030579986,0.95
KRT5,0.02566642204123387,0.9375
ERBB2,0.024932335042507546,0.95
MELK,0.024687749068725028,0.95
CCNE1,0.024628603818786864,0.95
PWY33,0.024523523833786105,0.95
PWY9,0.0231969210216696,0.8125
PWY14,0.02231028586928262,0.9125
MYC,0.02148062083729706,0.7625
PWY18,0.020581557488398246,0.6875
PWY40,0.019964967030325458,0.725
TYMS,0.018816780196061145,0.6125
ORC6L,0.018118866096265028,0.5625
FGFR4,0.017713550927349008,0.6
STARD3,0.01503163556738403,0.4
PWY8,0.014491217410774321,0.2875
MYBL2,0.013481804510831146,0.2625
MMP11,0.013128008535501171,0.175
PWY35,0.012429026313063097,0.1875
MKI67,0.012006041151931247,0.175
GATA3,0.011622825712119233,0.1375
BIRC5,0.011602833258502985,0.1375
CDH1_prom,0.011440094902406642,0.1625
PWY7,0.01018050953644215,0.05
PGR,0.010096383113030315,0.1
PWY30,0.009844982134364492,0.0375
PWY1,0.009751147660232082,0.075
PWY15,0.009679144969206386,0.0875
PWY39,0.009216372983771367,0.05
PWY29,0.008782053612619368,0.0375
CDH3,0.008690781073960091,0.0625
PTTG1,0.008688196273303942,0.0375
APC_prom,0.008261003211873171,0.05
PWY36,0.008180493928288058,0.05
PWY34,0.007825836054570982,0.0125
GRB7,0.007285028118063949,0.0
GSTP1_prom,0.006404263214456167,0.0125
SLC39A6,0.006344704479098283,0.0125
CEP55,0.006330517197789589,0.0
FOXA1,0.006329743699082993,0.025
PWY6,0.006278003348496193,0.0125
ERBB2_AMP,0.006131222118777488,0.0
MLPH,0.0060769387146847684,0.0125
EGFR,0.005877124410739221,0.0125
FOXC1,0.005284550193910541,0.0
KRT17,0.005049995440209935,0.0
RRM2,0.004785348656570242,0.0
CCNB1,0.00477417828129211,0.0
PWY21,0.0042479392180863095,0.0
PTEN_prom,0.004201466422297647,0.0
PWY24,0.003796212097679744,0.0
UBE2C,0.0034399736506610943,0.0
CpG13_prom,0.0034329582067425695,0.0
KIF2C,0.003211427648799066,0.0
CpG6_prom,0.0031531721241062514,0.0
PWY16,0.0027941797292291366,0.0
CDKN2A_prom,0.002763365454752655,0.0
CpG11_prom,0.0023894635412626676,0.0
