feature,mean_importance,bootstrap_stability
XBP1,0.0840513261860858,1.0
MIA,0.05294193807750976,1.0
ESR1_prom,0.04637416374926678,1.0
BRCA1_prom,0.0369234793341957,1.0
AURKA,0.034135291069077874,0.9875
ESR1,0.02669368934803526,0.9875
BCL2,0.02620961030579986,0.95
KRT5,0.02566642204123387,0.9375
ERBB2,0.024932335042507546,0.95
MELK,0.024687749068725028,0.95
CCNE1,0.024628603818786864,0.95
PWY33,0.024523523833786105,0.95
PWY9,0.0231969210216696,0.8125
PWY14,0.02231028586928262,0.9125
MYC,0.02148062083729706,0.7625
PWY40,0.019964967030325458,0.725
