,ER/luminal (ESR1),HER2 (ERBB2),Proliferation (AURKA),Basal (KRT5)
XBP1,0.7484728058604659,-0.4928228462400881,-0.8979252710293234,-0.7889315544483867
MIA,-0.7164286894628245,0.48098568381963386,0.8858837123889289,0.7590238221402088
ESR1_prom,-0.7206518845711005,0.42893214079005043,0.8775435510173205,0.7571563601811933
BRCA1_prom,-0.5256877392185898,0.1803065778939429,0.8431023950613967,0.6082525992945018
AURKA,-0.6595194074988723,0.39878998506571567,0.9999999999999999,0.6890662738102791
ESR1,0.9999999999999998,-0.6583516967777986,-0.6595194074988723,-0.7542565400401099
BCL2,0.7241997874649826,-0.488580674148519,-0.7803453891553024,-0.7472540845379787
KRT5,-0.7542565400401099,0.6057880565895823,0.6890662738102791,1.0
ERBB2,-0.6583516967777986,1.0,0.39878998506571567,0.6057880565895823
MELK,-0.6742841107584803,0.4698068243256446,0.8228800666863116,0.735013694012299
CCNE1,0.5073731116761839,-0.6896041656312363,-0.10906945687460808,-0.4059340796712246
PWY33,0.6547377521861971,-0.686109849854504,-0.45743238575713013,-0.5950340519687712
PWY9,-0.002220756512243391,-0.2772521776147656,0.49098204587419714,0.12088854789328601
PWY14,0.3885765319663792,-0.5666407963116415,0.07744347319941902,-0.2728777889355631
MYC,0.6629727156852994,-0.46287692445322565,-0.8144864526698123,-0.7016128823265556
PWY40,0.6062788553695433,-0.326444584263826,-0.8076510511380985,-0.6475961174768708
