feature,marker,r,p,p_adj
XBP1,ESR1,0.7484728058604659,1.8616063937492444e-94,6.619044955552869e-94
XBP1,ERBB2,-0.4928228462400881,3.579392279203743e-33,5.090691241534212e-33
XBP1,AURKA,-0.8979252710293234,9.445762553341102e-187,1.2090576068276611e-185
XBP1,KRT5,-0.7889315544483867,1.2428921391601041e-111,6.628758075520555e-111
MIA,ESR1,-0.7164286894628245,4.9683307683040475e-83,1.3824920398759088e-82
MIA,ERBB2,0.48098568381963386,1.83578804840727e-31,2.44771739787636e-31
MIA,AURKA,0.8858837123889289,6.432194794835929e-175,6.861007781158325e-174
MIA,KRT5,0.7590238221402088,1.3193758295046317e-98,6.031432363449745e-98
ESR1_prom,ESR1,-0.7206518845711005,1.9156201018412543e-84,5.572713023538195e-84
ESR1_prom,ERBB2,0.42893214079005043,1.093132608914273e-24,1.3453939802021821e-24
ESR1_prom,AURKA,0.8775435510173205,1.7705708396661228e-167,1.6188076248375978e-166
ESR1_prom,KRT5,0.7571563601811933,7.417890829813627e-98,3.1649667540538146e-97
BRCA1_prom,ESR1,-0.5256877392185898,2.753907459310127e-38,4.0988390092057707e-38
BRCA1_prom,ERBB2,0.1803065778939429,3.5391906883080344e-05,3.7751367341952367e-05
BRCA1_prom,AURKA,0.8431023950613967,1.1489007990388803e-141,9.191206392311042e-141
BRCA1_prom,KRT5,0.6082525992945018,6.214563482756903e-54,1.0749515213417346e-53
AURKA,ESR1,-0.6595194074988723,3.2479284184603306e-66,6.495856836920661e-66
AURKA,ERBB2,0.39878998506571567,2.865498127876764e-21,3.334397821529325e-21
AURKA,AURKA,0.9999999999999999,0.0,0.0
AURKA,KRT5,0.6890662738102791,1.848616217646822e-74,4.381905108496171e-74
ESR1,ESR1,0.9999999999999998,0.0,0.0
ESR1,ERBB2,-0.6583516967777986,6.581163797626971e-66,1.2388073030827239e-65
ESR1,AURKA,-0.6595194074988723,3.2479284184603306e-66,6.495856836920661e-66
ESR1,KRT5,-0.7542565400401099,1.0504122895201245e-96,3.954493325252234e-96
BCL2,ESR1,0.7241997874649826,1.186147698549482e-85,3.6149263193888973e-85
BCL2,ERBB2,-0.488580674148519,1.4939249941674277e-32,2.0342808431216038e-32
BCL2,AURKA,-0.7803453891553024,1.1043134310202548e-107,5.436619968099716e-107
BCL2,KRT5,-0.7472540845379787,5.443192534098794e-94,1.833496432538541e-93
KRT5,ESR1,-0.7542565400401099,1.0504122895201245e-96,3.954493325252234e-96
KRT5,ERBB2,0.6057880565895823,2.128522681521084e-53,3.4056362904337344e-53
KRT5,AURKA,0.6890662738102791,1.848616217646822e-74,4.381905108496171e-74
KRT5,KRT5,1.0,0.0,0.0
ERBB2,ESR1,-0.6583516967777986,6.581163797626971e-66,1.2388073030827239e-65
ERBB2,ERBB2,1.0,0.0,0.0
ERBB2,AURKA,0.39878998506571567,2.865498127876764e-21,3.334397821529325e-21
ERBB2,KRT5,0.6057880565895823,2.128522681521084e-53,3.4056362904337344e-53
MELK,ESR1,-0.6742841107584803,3.249112026940407e-70,7.170454128420209e-70
MELK,ERBB2,0.4698068243256446,6.585572443376884e-30,8.60156400767593e-30
MELK,AURKA,0.8228800666863116,2.927153670782636e-129,2.081531499223208e-128
MELK,KRT5,0.735013694012299,1.8701816118632014e-89,5.9845811579622445e-89
CCNE1,ESR1,0.5073731116761839,2.281552332138059e-35,3.318621574018995e-35
CCNE1,ERBB2,-0.6896041656312363,1.281064872938799e-74,3.2795260747233256e-74
CCNE1,AURKA,-0.10906945687460808,0.012824386375003865,0.013238076258068505
CCNE1,KRT5,-0.4059340796712246,4.765085052715729e-22,5.754064969317107e-22
PWY33,ESR1,0.6547377521861971,5.739364235577242e-65,1.0494837459341242e-64
PWY33,ERBB2,-0.686109849854504,1.3680382116856812e-73,3.1269444838529855e-73
PWY33,AURKA,-0.45743238575713013,2.979126149205501e-28,3.7385112460618052e-28
PWY33,KRT5,-0.5950340519687712,4.048795378585133e-51,6.320070834864598e-51
PWY9,ESR1,-0.002220756512243391,0.9597086223315873,0.9597086223315873
PWY9,ERBB2,-0.2772521776147656,1.2456981090555005e-10,1.3745634306819316e-10
PWY9,AURKA,0.49098204587419714,6.670177928797375e-33,9.280247553109391e-33
PWY9,KRT5,0.12088854789328601,0.005776981594387443,0.006061095443291744
PWY14,ESR1,0.3885765319663792,3.45701802926619e-20,3.950877747732789e-20
PWY14,ERBB2,-0.5666407963116415,1.6991450501253102e-45,2.5891734097147583e-45
PWY14,AURKA,0.07744347319941902,0.07766742028156191,0.07890023647650735
PWY14,KRT5,-0.2728777889355631,2.4822681651194824e-10,2.692629874027913e-10
MYC,ESR1,0.6629727156852994,3.9492009182544604e-67,8.42496195894285e-67
MYC,ERBB2,-0.46287692445322565,5.67575387018608e-29,7.264964953838183e-29
MYC,AURKA,-0.8144864526698123,1.4446518093062162e-124,9.245771579559784e-124
MYC,KRT5,-0.7016128823265556,2.874662290891501e-78,7.665766109044003e-78
PWY40,ESR1,0.6062788553695433,1.6671525550586296e-53,2.8078358822040077e-53
PWY40,ERBB2,-0.326444584263826,2.234538714848696e-14,2.5089557500055537e-14
PWY40,AURKA,-0.8076510511380985,6.439339908581512e-121,3.746525037720152e-120
PWY40,KRT5,-0.6475961174768708,3.801865237378636e-63,6.758871533117575e-63
